id,cbo,descricao,disponivel,user_id,created_at,updated_at
,142110,Gerente de riscos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142115,Gerente financeiro,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142120,Tecnólogo em gestão administrativo- financeira,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142125,Analista de compliance,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142130,Analista de riscos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142135,Oficial de proteção de dados pessoais (dpo),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142140,Gerente de facility management,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142205,Gerente de recursos humanos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142210,Gerente de departamento pessoal,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142305,Gerente comercial,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142310,Gerente de comunicação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142315,Gerente de marketing,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142320,Gerente de vendas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142325,Relações públicas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142330,Analista de negócios,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142335,Analista de pesquisa de mercado,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142340,Ouvidor,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142345,Profissional de relações institucionais e governamentais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142350,Profissonal de relações internacionais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142355,Analista de e-commerce,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142405,Gerente de compras,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142410,Gerente de suprimentos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142415,Gerente de almoxarifado,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142505,Gerente de infraestrutura de tecnologia da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142510,Gerente de desenvolvimento de sistemas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142515,Gerente de operação de tecnologia da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142520,Gerente de projetos de tecnologia da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142525,Gerente de segurança da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142530,Gerente de suporte técnico de tecnologia da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142535,Tecnólogo em gestão da tecnologia da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142605,Gerente de pesquisa e desenvolvimento (p&d),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142610,Especialista em desenvolvimento de cigarros,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142705,Gerente de projetos e serviços de manutenção,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142710,Tecnólogo em sistemas biomédicos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,201105,Bioengenheiro,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,201110,Biotecnologista,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,201115,Geneticista,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,201205,Pesquisador em metrologia,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,201210,Especialista em calibrações metrológicas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,201215,Especialista em ensaios metrológicos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,201220,Especialista em instrumentação metrológica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,201225,Especialista em materiais de referência metrológica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,202105,Engenheiro mecatrônico,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,202110,Engenheiro de controle e automação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,202115,Tecnólogo em mecatrônica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,202120,Tecnólogo em automação industrial,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203005,Pesquisador em biologia ambiental,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203010,Pesquisador em biologia animal,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203015,Pesquisador em biologia de microorganismos e parasitas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203020,Pesquisador em biologia humana,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203025,Pesquisador em biologia vegetal,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203105,Pesquisador em ciências da computação e informática,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203110,Pesquisador em ciências da terra e meio ambiente,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203115,Pesquisador em física,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203120,Pesquisador em matemática,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203125,Pesquisador em química,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
